File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admProfilesFra.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admProfilesUnassignedFra.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admSaving.asp,15,14,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admSchedDefEdit.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admSchedEdit.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admSchedEditFra.asp,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admSchedList.asp,15,14,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admSchedListFilterDlg.asp,15,14,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admSchedListFra.asp,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admSendAlerts.asp,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admSessionExpired.asp,15,14,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTemplate.asp,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTime.asp,18,17,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeAddAdj.asp,18,17,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeAddAdjFra.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeAddColl.asp,18,17,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeAddCollFra.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeAddUnif.asp,18,17,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeAddUnifFra.asp,17,16,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeAdjFra.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeAppDlg.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeCardFra.asp,17,16,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeCloDlg.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeCollFra.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeDelNameDlg.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeDetailDelDlg.asp,17,16,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeDetailFra.asp,17,16,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeNameFra.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimePayNameDlg.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeUnifFra.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admTimeWeekFra.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admUniformsFra.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admurl.asp,18,17,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admURLEdit.asp,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admURLEditDlg.asp,18,17,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admURLEditListFra.ASP,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admURLListFra.ASP,16,15,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf\admUserAssignedFra.asp,13,12,0,0,1,0,0,0,0,0
