File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Login.aspx,39,32,3,0,7,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\MonthlyCustomerDetailReport.aspx,18,16,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\MonthlyCustomerSummary.aspx,18,16,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\MonthlySalesRepReport.aspx,18,16,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\MonthlyTip.aspx,18,16,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Sales.aspx,14,13,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\SessionExpired.aspx,35,29,2,0,6,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\StatementList.aspx,14,13,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\TimeClock.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\TimeClockMaintenance.aspx,98,89,0,0,9,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\TimeLogin.aspx,81,76,2,0,5,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\TimePassword.aspx,169,165,7,0,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\TimeSet.aspx,563,536,77,0,27,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\TimeSheet.aspx,18,16,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\TimeSummary.aspx,20,16,0,0,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Vehicles.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Washes.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\WeeklySales.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\Login.aspx.cs,24,22,14,1,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\Login.aspx.designer.cs,36,9,4,0,6,1,21,80,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\Manage.aspx.cs,104,78,44,7,19,0,7,62,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\Manage.aspx.designer.cs,85,14,9,0,15,1,56,210,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\OpenAuthProviders.ascx.cs,52,39,23,4,13,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\OpenAuthProviders.ascx.designer.cs,28,8,3,0,6,1,14,54,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\Register.aspx.cs,31,28,18,1,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\Register.aspx.designer.cs,36,9,4,0,6,1,21,80,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\RegisterExternalLogin.aspx.cs,151,118,68,10,22,0,11,88,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\RegisterExternalLogin.aspx.designer.cs,58,11,6,0,12,1,35,132,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\Login.aspx,48,45,0,1,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\Manage.aspx,126,113,0,0,13,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\Register.aspx,62,58,0,0,4,0,0,0,0,0
